query,recordID,insertUserID,name,bodyPlainText,dateInserted
depressione,6101660,34992711,Lei assume dei farmaci,"Lei 30 anni. Da poco di un anno conviviamo insieme. Per caso gli trovo delle scatole di antidepressivi. Lei non mi aveva detto nulla che soffrisse di ansia e depressione.  Volevo sapere se questo potrà influire sul nostro rapporto futuro. Da qualche giorno ha avuto una  ricaduta prendendoli di nuovo.  Io sono davvero preccoupato se diventerà dipendente dai farmaci o avrà un cambiamento di umore che potrà influire sul nostro rapporto.  Poi mi ha detto di non dire nulla a nessuno, ma io ho sempre detto tutto ad i miei. Che mi chiedono come sta devo mentire ogni volta... È normale così?   Grazie mille",2024-12-30T15:11:32+00:00
depressione,6100943,34996060,"Terapia del sogno, è valida per tutte le forme di depressione.","Quante volte abbiamo sentito di gesti estremi compiuti da persone giàin cura, comprese le mamme in cura per la depressione post parto,ovviamente. La scienza non sa fare altro che indagare la mente dell'individuo ma, visti i risultati, sarebbe opportuno porsi ildubbio che andando a stimolare l’attività mentale, non si finisca per aumentare il malessere di chi soffre. Il limite della scienza è quello di non prendere in considerazione quella componente dell’essere umano che i latini hanno giustamente chiamato “animus” e quindi di non capire che le patologie psichiche derivano dalla somatizzazione del malessere dell’anima. Le metafore bibliche delPeccato Originale e della Torre di Babele, vogliono ricordarci l’esistenza di una civiltà primordiale che non conosceva il pensiero, perché viveva attraverso l’intelligenza del cuore, che è l’organo dei sentimenti, ed è proprio la ricerca dell’energia dei sentimenti il motivo che spinge l’anima ad incarnarsi in un essere umano. Il neonato non ha capacità mentali, ma sopravvive perché guidato dalla volontà dell’anima di realizzare una vita attraverso un corpo, infatti sappiamo che se chiedessimo a un bambino in tenera età di prestarci un giocattolo, riceveremo una risposta negativa, questo perché il bambino vive nel momento presente non avendo ancora sviluppato la facoltà mentale di proiettarsi nel futuro e ovviamente nemmeno quella di rivivere il passato. L’attività mentale comporta l’emissione di un’energia pensiero/tempo che inquina quella dell’anima per la differente frequenza vibrazionale, ne deriva una perdita di energia che si riverbera sul corpo facendolo invecchiare e precludendo all’anima la possibilità di fare esperienza di sentimenti che abbiano una certa valenza energetica. Di questa realtà l’anima ci dà conto attraverso l’attività onirica, i sogni infatti non si riferiscono a situazioni personali, ma descrivono l’attività che l’anima mette in atto per difendersi dall’energia inquinante, oppure rappresentano le conseguenze che la mente ha su di lei. Per rendersi conto di questo è sufficiente una breve ricerca sulla rete dove troveremo dei siti che prendono in esame il sogno dell’anoressia, questo perché si tratta di un sogno piuttosto comune che ha lo scopo di evidenziare la perdita di energia dell’anima e che può venire somatizzato dando vita al disturbo. Tale principio vale ovviamente anche per le mamme che soffrono di una depressione post parto particolarmente grave. Esse hanno l’impressione che solo liberandosi del proprio figlio porranno fine al loro dolore. Anche in questo caso sognare bambini o di partorire è molto comune, infatti i personaggi che appaiono insogno, salvo alcune eccezioni, non sono altro che la rappresentazione di energie inquinanti alle quali abbiamo dato vita attraverso la mente. Le possibilità di uscire da questa situazione sono due, la prima è quella di attendere che l’anima col passare del tempo perda la propria energia e quindi la capacità di somatizzare la sua disperazione, ma a questo punto i danni sono già stati fatti, la seconda è quella di ricorrere alla capacità terapeutica del sogno. Basterà infatti sforzarsi di ricordare e trascrivere i propri sogni, perché l’anima veda consegnato il proprio messaggio e quindi non abbia più la necessità di rincorrerci attraverso altri incubi o addirittura di somatizzare il suo malessere.",2024-12-14T16:46:27+00:00
depressione,6100658,34994356,Tristezza nel periodo natalizio,"Ogni anno ci ricasco, la mia ansia e la mia depressione aumentano e non c'è niente da fare. C'è qualcuna/o come me?",2024-12-09T17:31:03+00:00
depressione,6100590,34969891,Come aiutare mia nonna,"Buongiorno, scrivo questo post perché sono anni che vorrei aiutare mia nonna ma è davvero difficile.Ho la fortuna di poter andare a trovare la mia bisnonna quindi so che è una persona organizzata, ordinata,super pulita,molto accogliente e precisa,si ricorda i compleanni dei nipoti (siamo tantissimi)e fa sempre cura ad ogni gesto.Mia mamma mi ha detto che anche mia nonna lo era e vedendo le foto da ragazza lo posso ben credere aveva una cura della sua persona , acconciature,vestiti faceva la sarta ed era precisissima.La sfortuna di mia nonna è stato mio nonno:""uomo""freddo,severo anche con i suoi figli,mai amorevole,affettuoso.Hanno avuto tanti figli,come si usava una volta.Quando lei era incinta una volta lui l'ha picchiata,tirato calci e lei ha perso il bambino.Mia nonna ha provato a chiedere aiuto a sua mamma,chiedendole di stare in casa da lei ma purtroppo non è stata aiutata(infatti spesso parla ancora male e con rancore(giustamente).Mia nonna purtroppo è caduta in una gravissima depressione.Ha trascurato i problemi di salute, l'ambiente in cui vive...ha sempre paura di fare dei piccoli interventi che potrebbero migliorare la sua condizione di vita.Casa sua è come il programma sepolti in casa ed è brutto da dire però puzza tantissimo.Mio nonno è rimasto un mostro,é venuto fuori che metteva le mani nelle mutandine delle mie cuginette piccole,ha sempre chat sul telefono con ragazze rumene(ci metto la mano sul fuoco che tradisce fisicamente mia nonna).Da quando è uscito fuori che faceva il pedofilo con le nipotine mio zio l'ha eliminato dalla sua vita.Mia nonna l'ha difeso dicendo che se non avesse parlato a lui avrebbe chiuso anche con lei(secondo me lei sa dell'infedeltà del marito ma lo nega perché una volta mia mamma ha chiesto a suo padre di chi fossero tutti quei messaggi perché gli continuava a squillare il telefono e mia nonna triste ha risposto ""sicuramente rumene) Così lei ha perso un figlio per difendere quel mostro.La situazione è gravissima ma lei non accetta aiuti,dice che sta bene ma palesemente non è così.Una volta qualcuno ha mandato anonimamente i carabinieri ma lei li ha mandati Via dicendo che è tutto apposto.Di una ventina di nipoti sono l'unica ad andare a trovarla e quando vado provo sempre a pulirle casa e a tirarla su di morale.Ha anche problemi alla vescica e non riesce quindi a trattenere la pipì,vi lascio immaginare quella casa ...dove il mostro le porta oggetti inutili che prende anche alla caritas (vestiti di neonati???Non ci sono neonati in famiglia)cose assolutamente inutili,porta gatti che entrano in casa e lui entra e lascia sporco pensando che la moglie visibilmente invalida in sovrappeso che non si riesce a muovere pulisca tutto.Odio dover pulire lo schifo che fa lui ma lo faccio per lei ,per darle anche se per pochissimo perche non dura tanto un posto migliore in cui stare.I miei zii sono anni che provano ad aiutarla ma lei rifiuta ogni aiuto e se uno insiste un po' di più si arrabbia e ci si litiga.Mia nonna purtroppo non ha patente, telefono è sempre sola,ora ci vede pochissimo e sua sorella mi ha confidato di voler  andare a trovarla ma evita perché percepisce il suo imbarazzo della casa in disordine.I miei cugini non vanno perché schifati dal disordine e dalla sporcizia.Vi chiedo di non giudicare mia nonna che poverina è solo una vittima, è sicuramente in depressione ha lo sguardo sempre perso nel vuoto e io ho il cuore a pezzi perché è tra le persone più buone che io conosca e non merita tutto questo.Ieri quando sono andata von mia mamma le abbiamo acceso noi il fuoco sennò era al freddo e pensare che in altri  giorni non c'è nessuno ad aiutarla mi rattrista molto.Lei dice di essere autonoma in casa e quindi rifiuta una badante o qualsiasi aiuto.Come fare ad aiutare chi non si fa aiutare ma ha palesemente e urgentemente bisogno?Io e mia mamma torniamo a casa col magone o piangendo.Rifiuta aiuto di psicologi,medici...come fare??? NON GIUDICATE MIA NONNA PER FAVORE",2024-12-08T16:58:06+00:00
depressione,6100201,34995593,Mobbing post maternità,"Buonasera a tutt*, cerco un consiglio riguardo la situazione lavorativa che sto vivendo.  In pratica lavoro da 8 anni presso questa azienda in cui la titolare è un'ex professoressa universitaria di 85 ANNI (vedova, senza figli, senza vita tranne il lavoro); con la pandemia l'azienda ha chiuso e sono stata licenziata. Due anni dopo la titolare ha riaperto e mi ha chiesto di tornare, e poichè stavo ormai da due anni vivendo una situazione abbastanza precaria, benché lavorassi, io ho accettato nonostante si trattasse di tornare con la metà delle ore lavorative in busta paga (ovvero solo 16 ore settimanali).   Benché facessi molte più delle 3,5 ore al giorno previste dal contratto, mi sono fatta andare bene la situazione perché in altri giorni potevo invece restare a casa, quando non c'era molto da fare, recuperando così le ore in più. Stupidamente non mi sono mai preoccupata di segnarmi le ore effettive, perchè davvero con la titolare si era instaurato un rapporto quasi familiare (la accompagnavo a casa in auto, a volte lavoravo anche a casa sua, c'era comunque dialogo), e c'era sempre la promessa di tornare a un full-time effettivo, quando ""le cose in azienda si fossero sistemate""…  Premetto che l'azienda è un consorzio con l'università e comunque io manterrei la posizione anche dopo la dipartita della titolare, e che ho un tempo indeterminato.  Dopo un anno resto incinta e all'inizio sembra andare tutto bene. Vado in maternità e torno al compimento dei 6 mesi del bambino: qui trovo una situazione completamente cambiata. Non mi si affida alcuna mansione e dopo qualche giorno capisco che non c'è intenzione di farlo, non mi si ridanno con delle scuse patetiche le password delle mail, degli account aziendali (faccio la segretaria), tutti gli uffici e gli armadietti con la documentazione sono chiusi a chiave. La titolare arriva in azienda, dice buongiorno e si chiude in ufficio senza più parlarmi.  Dopo un mese si presenta nel mio ufficio con questa ragazza e mi dice: ""Siccome tu adesso hai problemi di orario, ho dovuto assumere un'altra"". I miei ""problemi di orario"" sono che adesso che ho un bambino pretendo di fare solo le 3 ore al giorno scritte sul mio contratto, così a mezzogiorno me ne vado. Speravo che dopo la maternità si sarebbe potuto riparlare di un aumento, ma ovviamente adesso non se ne parla minimamente.  Per cui la situazione è che me ne sto chiusa nel mio ufficio a non fare niente, loro due chiuse in una stanza a lavorare in gran segreto, e ovviamente il succo è che non possono licenziarmi e vogliono solo che me ne vada io.  Io sono incazzata nera, perchè in passato la mia disponibilità è stata massima e adesso mi ritrovo a dover fare un altro lavoro di pomeriggio per potermi mantenere. Ho voglia di andarmene e mandare tutti affanculo ogni giorno, ma farei solo il loro gioco perciò me ne sto buona e zitta dalle 9 alle 12, ma medito vendetta.  Ragazze, voi come agireste? Ho parlato col sindacato ma loro manderebbero una pec in azienda per risolvere pacificamente la questione, ma io voglio la guerra. Voglio causare il danno massimo all'azienda e alla titolare. Se avete passato qualcosa di simile o avete competenze al riguardo, aspetto vostre!! PS. : Dalla mia ho anche tutte le fatture della psicoterapia. Ho avuto un accenno di depressione post partum e ho iniziato un percorso a fine agosto, per poi ricominciare a lavorare a settembre. Inutile dire che questa storia non ha fatto che aggravare la mia situazione psicologica, ma non so quanto possa rivalermi su questo.  IN NOME DI TUTTE LE MAMME LAVORATRICI: HELP!",2024-12-01T18:19:23+00:00
depressione,6100194,34978234,Ogni volta che c'e' qualcosa di positivo trovo un problema,"Ciao a tutti , ho bisogno del vostro aiuto. Io ho un problema psicologico di questo tipo, vi spiego. Ogni volta che c'e' qualcosa di bello o positivo io trovo il problema per rovinarmi tutto. In questi giorni ho cambiato casa e il mio vicino ho scoperto che lavora in una grossa azienda multinazionale e praticamente monta e installa le canne fumarie che vengono messe nei forni dove vengono bruciate le persone. Praticamente lui installa questa roba in tutto il mondo. A me questa cosa mi fa impressione, non so come spiegarlo, i miei amici mi danno del pazzo ma non riesco a superare questa cosa. Sono pazzo? vi chiedo un aiuto credetemi ci sto impazzendo…. Ovviamente questa cosa mi capita anche in altre cose, cioe' io sono contento di qualcosa…carichissimo…poi trovo sempre il cavillo per iniziare a rimuginare e stare male.",2024-12-01T17:49:11+00:00
depressione,6099881,34995324,Sintomi della depressione,"Buongiorno a tutti Io vorrei sapere se anche voi che soffrite di ansia e depressione vivete un'esperienza terribile ogni mattina quando Aprite gli occhi e sentite nausea inappetenza assoluta e il vuoto dentro la testa, Nessun entusiasmo per affrontare la giornata e fare ciò che si deve fare! Io sono in cura con C per la vita ogni tanto l'ho interrotto Ed ora l'ho ripreso da poco più di 12 giorni alcuni giorni non avverto i sintomi dell'inizio cura e altri invece mi assalgono! Non crediate che io mi abbatta Lotto con tutte le mie forze e cerco di distrarmi in tutti i modi ma ogni problema che la vita mi propone mi pare insormontabile! Sto meglio Sono nel pomeriggio verso sera anche a voi succede così? Ditemi qualcosa Vi prego",2024-11-26T08:20:19+00:00
depressione,6099794,34967221,RAGAZZO TIROCINIO,"Buonasera.  Al tirocinio ho conosciuto un ragazzo, da subito l'ho visto molto azzeccoso, dopo un po' mi ha chiesto il numero. Poichè ci vediamo tutti i giorni a scuola, poi mi contatta tutti i giorni per chiedermi com'è andata la giornata, cosa ho fatto la sera. Poi ieri, poichè stavo al corso l'ho chiamato e ci siamo visti per un caffè e ha detto che è uscito da poco da una relazione ed è andato in depressione. Poi vedo che all'improvviso quando parla alza la voce. Poi quando volevo andarmene da sola a piedi, lui mi voleva accompagnare per forza.",2024-11-24T18:31:23+00:00
depressione,6099734,34995324,Problemi con Cipralex,Buongiorno a tutti sono nuova di questo gruppo e spero che qualcuno mi risponda! Ho bisogno di sapere se qualcuno sta come me i primi giorni di Cipralex Anche se per me non è un farmaco nuovo perché lo prendo da più di 10 anni con varie interruzioni! Ora ho dovuto riattivarlo perché avevo i sintomi tipici di una crisi depressiva soprattutto una forte nausea che è peggiorata di molto prendendo il Cipralex punto sono arrivata oggi a dieci gocce cominciate una settimana fa con quattro completamente inappetente e con attacchi di nausea e dolori allo stomaco... la psichiatra mi dice che questi sono sintomi dovuti alla mia patologia e non al Cipralex che ancora non è riuscito a fare l'effetto desiderato Qualcuno ha provato le stesse cose non ce la faccio più per favore rispondetemi Vorrei tanto poter dialogare con qualcuno grazie,2024-11-23T14:00:27+00:00
depressione,6099220,34995021,Parole,"Sono stata sempre una persona fragile, anche se non l'ho mai mostrato all'esterno, credo di non essere adatta alla vita, non sono in grado di affrontarla. La prima volta che ho desiderato morire avevo 11 anni, non lo sa nessuno, solo io, ci ho provato anche quel giorno, nella mia testa di bambina pensavo di riuscire ad uccidermi strozzandomi con le mie mani mude. Sono passati 26 anni da quel giorno, ma questo pensiero non mi ha mai più abbandonato. Non ho mai più provato nei fatti a mettere fine alla mia vita ma questo ""desiderio"" riaffiora in me spesso, magari mentre guido e penso ""qualcuno potrebbe tamponarmi e finirei in questo burrone""; oppure ritrovandomi a cercare informazioni dettagliate su come veniva cotta la cicuta con cui si uccise Socrate; o nel modo più banale quando la sera, prima di addormentarmi, prego affinché non mi svegli piú. Finalmente avrei pace, la mia mente sarebbe libera da tutti i pensieri e da tutti i problemi, non dovrei più preoccuparmi di cosa mi attende nel futuro o semplicemente domani. Non so perché sono così, non ho avuto un'infanzia abusante o maltrattante, nella primissima infanzia mia madre, soffrendo sicuramente di depressione post partum, ci picchiava ma io non ne ho ricordi, lo so perché lo racconta lei. Mi ha sempre raccontato di come mi prendeva a cazzotti quando ero nella sua pancia perché le facevo male quando puntavo i piedi e che da neonate picchiava me e mia sorella quando piangevamo. Ma come ho detto io non ricordo nulla, ero troppo piccola. Non ricordo neanche che nè lei nè mio padre mi abbiano mai abbracciato o baciato o incoraggiato in nulla ma sempre denigrato, come quando a 6 anni partecipai ad una gara di corsa tra bambini e feci l'ultimo posto: ricordo come ridevano di me e come lo raccontavano a tutti ridendo; o come quando, dopo 2 mesi dall'inizio dell'università, parlando del più e del meno con altre persone mia madre se ne uscí dicendo che io ero sicuramente sola, quali amici potevo mai aver trovato io, e invece gli amici li avevo, avevo subito fatto amicizia con un bel gruppo di ragazzi/e. Ricordo la paura, da bambine, di fare o dire qualcosa di sbagliato perché loro erano sempre arrabbiati e nervosi e non volevamo peggiorare il loro umore. Odio le persone che cantano perché lei canta quando è arrabbiata. Odio le persone chiassose e i rumori forti perché a lui davano fastidio i rumori e dovevamo stare attente a non usare un tono di voce troppo alto, a non masticare chewing-gum, a non mangiare cibi croccanti. Ma ricordo anche che non ero sola, avevo mia zia e suo marito che mi amavano tanto, morti purtroppo quando avevo 7 anni; avevo tante cugine con cui stavo quasi tutti i giorni e mi divertivo molto; ho sempre avuto amici, non sono mai stata sola. Almeno fino a qualche anno fa. Non possono quindi essere i miei genitori la causa della mia infelicità, della mia inadeguatezza e dei miei innumerevoli fallimenti perché ho avuto altre gioie dalla vita. Ma adesso mi ritrovo a 37 anni, a vivere una vita che non mi appartiene, una vita costellata da scelte sbagliate... se mi guardo indietro mi rendo conto di non aver mai preso una scelta giusta, di aver sbagliato tutto, anche quello che era impossibile sbagliare. E continuo a perseverare, a sbagliare cosciente di farlo, ma forse sono solo troppo stupida per prendere decisioni che potrebbero cambiare la mia vita. Ho lasciato l'università dopo un anno e non ho mai trovato un lavoro fisso, solo lavori precari e per nulla soddisfacenti, tanto da sfociare in burnout 3 anni fa; da agosto non lavoro più e non ho il coraggio neanche di cercarlo un altro lavoro, consapevole del fatto che non posso aspettarmi chissà cosa con un semplice diploma e tanta, inutile, esperienza. Ho avuto sempre relazioni sbagliate, amori non corrisposti in cui io mi immergevo totalmente e non riuscivo a staccarmi da loro nonostante sapessi perfettamente che loro non mi amavano. Proprio come ora, che sto da 11 anni, di cui 2 di convivenza, con una persona che non mi ama, a cui non interessa cosa io penso o come mi sento. Abbiamo anche provato ad avere un figlio l'anno scorso, ma ho avuto un aborto che mi ha dato un ulteriore colpo di grazia, ci abbiamo riprovato per un po' finché non mi sono resa conto che ero solo io a volerlo. Sapevo che era una scelta sbagliata ma ho sempre voluto essere madre e ho sempre saputo, dentro di me, che per un figlio avrei messo da parte tutti i miei problemi, che avrei dato tutta me stessa, che non sarei stata come mia madre. Se ripenso ora al mio bambino che non ho mai potuto toccare, penso che forse sia stato giusto così... Che una forza superiore abbia capito che lui non avrebbe mai potuto vivere una vita felice con me e quindi lo abbia portato via prima che io facessi ulteriori danni. E l'ho accettato, ho accettato il mio aborto e il fatto che nessun esserino crescerà mai dentro di me e insieme a me. So, e ho sempre saputo, che il problema sono io, che ho un carattere sbagliato, anaffettivo nei confronti delle persone con cui non riesco ad entrare in sintonia e in confidenza al 100%, incapace di dire quello che penso sia che sia un pensiero positivo sia che sia negativo; sono fin troppo empatica ma appaio insensibile agli occhi degli altri perché non traspaio emozioni all'esterno. Ho terrore dei cambiamenti e non faccio passi avanti, resto bloccata nella mia bolla dell'infelicità all'infinito, finché qualcun altro non decide per me.  Ho allontanato tutti gli amici perché tutti sono andati avanti, hanno costruito qualcosa, trovato una loro strada, io invece sono un completo fallimento, non ho nulla se non rimpianti; cambio strada se vedo qualcuno che conosco che potrebbe chiedermi come sto, che lavoro faccio, se sono sposata, se ho figli perché ho vergogna di me stessa. Mi ritrovo spesso dal nulla a piangere: piango mentre guido, piango mentre mangio, piango mentre lavo i piatti. Sento un dolore dentro di me, dentro il mio corpo... mentre piango vorrei sbattere la testa forte contro qualcosa per aprirla a metà o tagliare il mio addome a metà e toccare e fare uscire tutto questo dolore che sento dentro di me. Se penso al mio futuro non vedo nulla. L'unica cosa che so in questo momento è che ho sprecato la mia vita e adesso è troppo tardi per starvolgerla completamente.",2024-11-14T16:14:48+00:00
